상품명,1,2,3,4,5,6,7,8,9,10,11,12,합계(원)
한일 대용량 스텐 분쇄믹서기,1065046000,932662000,532417000,1170507000,613175000,1439509000,1994409000,2048699000,1921462000,1221286000,3041805000,2187019000,18167996000
안동간고등어 20팩,1550751000,571554000,1265004000,1217011000,1056061000,673726000,1738029000,2056815000,536398000,918002000,1473958000,1334640000,14391949000
AAB의 소곱창전골 800g x 8팩,0,0,0,0,1930431000,1836943000,2192029000,1704255000,1361998000,1570159000,595837000,732320000,11923972000
일시불 LG전자 매직스페이스 냉장고,347578000,652941000,1083489000,408518000,549144000,381711000,1137594000,1644265000,1140771000,1124704000,1214523000,1219257000,10904495000
에코라믹 통주물 스톤 냄비세트,1644293000,1846576000,1941923000,1605913000,839619000,948552000,577170000,100085000,0,0,0,0,9504131000
국내산 손질갑오징어 8팩,1886649000,1333393000,823059000,1056941000,1226228000,2087562000,1003777000,0,0,0,0,0,9417609000
무이자 LG전자 매직스페이스 냉장고,319038000,474227000,776039000,453840000,474985000,274219000,1212296000,1487984000,878035000,1012089000,899318000,1017169000,9279239000
비버리힐스폴로클럽 남성기초세트(골드+콜라겐),0,0,0,0,0,0,0,0,1535422000,1310032000,2442080000,3394984000,8682518000
일시불 LG 통돌이 세탁기,1344804000,1247101000,696720000,716786000,521076000,578381000,866350000,680123000,563830000,671692000,232669000,0,8119532000
멋진밥상 흥양농협 쌀 20kg,0,693671000,739280000,1677555000,866015000,942983000,1425193000,1389281000,0,0,0,0,7733978000
임성근의 녹용도가니탕 풀세트,0,0,0,0,0,0,159706000,1547938000,1079449000,819697000,1496385000,1840803000,6943978000
무이자 LG 통돌이 세탁기,1066324000,984693000,553196000,598301000,453556000,491211000,713454000,597039000,433576000,613076000,154103000,0,6658529000
참존 탑뉴스 지이링클 기초세트,0,0,0,0,0,0,286179000,708461000,673383000,642489000,1943807000,2308194000,6562513000
비버리힐스폴로클럽 남성기초세트(2018FW골드),2908608000,2568367000,762743000,0,0,0,0,0,0,0,0,0,6239718000
일시불 LG 울트라HD TV 65UK6800HNC,703103000,696788000,525023000,1226619000,1040639000,530656000,770746000,426486000,309980000,0,0,0,6230040000
무이자 쿠쿠전기밥솥 10인용(CRP-QS107FG/FS),0,0,0,0,0,0,143769000,872688000,1252077000,897614000,1210435000,1050392000,5426975000
[VONIN]보닌 남성기초세트,0,0,0,0,0,0,0,146691000,502955000,1324095000,1628611000,1636042000,5238394000
유귀열의 귀한 갓김치3kg+총각김치3kg (총6kg),0,0,0,463671000,1660728000,1210072000,269351000,543943000,322685000,147635000,422423000,61609000,5102117000
일시불 올리고 가스와이드그릴  프리미엄형,0,0,0,615937000,343568000,823315000,1123345000,1461288000,491904000,0,0,0,4859357000
비버리힐스폴로클럽 남성기초세트(골드+플라),0,0,720773000,1778760000,2066932000,253553000,0,0,0,0,0,0,4820018000
옛날 그 쥐포 110장 (11팩),325177000,982477000,823546000,98765000,154480000,32332000,590445000,430897000,30791000,448131000,270693000,340322000,4528056000
무이자 LG 울트라HD TV 65UK6800HNC,562486000,563537000,334726000,865210000,648453000,388512000,430801000,319299000,281380000,0,0,0,4394404000
일시불 쿠쿠전기밥솥 10인용 (QS),0,0,0,0,0,0,110095000,627147000,972981000,661638000,962237000,905201000,4239299000
노비타 스마트 비데,1880290000,1529454000,611398000,183394000,0,0,0,0,0,0,0,0,4204536000
LG전자 통돌이 세탁기 TR14WK1(화이트),0,0,0,0,0,0,0,0,0,0,1373050000,2789707000,4162757000
아키 라이크라 노와이어 브라 컬렉션(뉴아키 23차),0,0,0,256152000,2529324000,1036426000,318135000,0,0,0,0,0,4140037000
현대어찬 손질갈치,0,0,0,0,0,0,0,941889000,1434423000,1160699000,432780000,108673000,4078464000
초특가  파뷔에 팬지 대형 후라이팬 세트,0,0,0,0,404861000,474884000,919135000,999812000,521606000,594508000,115702000,0,4030508000
우리바다 손질왕꼬막 24팩,1709507000,1641025000,649218000,0,0,0,0,0,0,0,0,0,3999750000
청정수산 완도활전복 35미,773935000,430863000,171029000,0,0,239090000,862483000,859465000,298884000,193199000,103996000,0,3932944000
멋진밥상 흥양농협 햅쌀 20kg,1804363000,215295000,0,0,0,0,0,0,0,595293000,1000188000,205415000,3820554000
바로바로 무선청소기,0,568964000,1605210000,854921000,467665000,80873000,60031000,0,0,0,0,0,3637664000
자연산 손질 통오징어 21미,0,1049910000,432877000,238672000,106782000,464455000,1182379000,140699000,0,0,0,0,3615774000
푸마 DRY-CELL 와이드 풀컵 브라팬티 7세트(14종),0,0,0,0,739539000,2348560000,499979000,0,0,0,0,0,3588078000
마르엘라로사티 휘메일 풀스킨 밍크 후드코트,0,0,0,0,783031000,723399000,1601798000,475042000,0,0,0,0,3583270000
