일시,서울 평균기온(℃),경기 평균기온(℃),평균온도,서울 강수량(mm),경기 강수량(mm)
2019-01-01,-5,-4.4,-4.7,0,0
2019-01-02,-4.9,-5.3,-5.1,0,0
2019-01-03,-3.5,-3.7,-3.6,0,0
2019-01-04,-1.1,-2.3,-1.7,0,0
2019-01-05,-2.8,-2.4,-2.6,0,0
2019-01-06,-2.8,-3.5,-3.15,0,0
2019-01-07,-1.9,-2.6,-2.25,0,0
2019-01-08,-3.5,-2.8,-3.15,0,0
2019-01-09,-4.7,-4.6,-4.65,0,0
2019-01-10,-0.6,-1.2,-0.9,0,0
2019-01-11,2.4,2.2,2.3,0,0
2019-01-12,2.8,2.4,2.6,0,0
2019-01-13,1.2,0.2,0.7,0,0
2019-01-14,1.4,0,0.7,0,0
2019-01-15,-1.7,-1.1,-1.4,0,0
2019-01-16,-5.2,-4.5,-4.85,0,0
2019-01-17,-0.3,-0.4,-0.35,0,0.1
2019-01-18,0.6,-0.4,0.1,0,0
2019-01-19,3.6,2.4,3,0,0
2019-01-20,-1.4,-0.4,-0.9,0,0
2019-01-21,-1.2,-1.3,-1.25,0,0
2019-01-22,1.7,0.4,1.05,0,0
2019-01-23,2,1.5,1.75,0,0
2019-01-24,0.1,-0.8,-0.35,0,0
2019-01-25,-1.2,-1.2,-1.2,0,0
2019-01-26,-2.5,-2.6,-2.55,0,0
2019-01-27,-0.1,-0.9,-0.5,0,0
2019-01-28,1.2,1.7,1.45,0,0.4
2019-01-29,-0.2,-0.7,-0.45,0,0
2019-01-30,1.8,2,1.9,0,0
2019-02-01,-2.1,-1.1,-1.6,0.3,0
2019-02-02,1.4,-2.2,-0.4,0,0
2019-02-03,3.3,1.5,2.4,16,0
2019-02-04,-0.6,3.7,1.55,0,22.7
2019-02-05,2.8,-0.3,1.25,0,0
2019-02-06,5.1,1.3,3.2,0,0
2019-02-07,-2.1,4.8,1.35,0.5,0
2019-02-08,-6.1,-0.9,-3.5,0,0
2019-02-09,-5.4,-5.1,-5.25,0,0
2019-02-10,-5,-4.2,-4.6,0,0
2019-02-11,-3,-4.3,-3.65,0,0
2019-02-12,-0.6,-2.5,-1.55,0,0
2019-02-13,-2.1,-0.1,-1.1,0,0
2019-02-14,-0.5,-1.4,-0.95,0,0
2019-02-15,-0.8,-0.2,-0.5,2.2,0
2019-02-16,-2.7,-0.6,-1.65,0.2,2.6
2019-02-17,-1.8,-1.7,-1.75,0,0.1
2019-02-18,0.9,-1.9,-0.5,0,0
2019-02-19,1.4,0.3,0.85,4.6,0
2019-02-20,1.7,1.1,1.4,0,8
2019-02-21,2.4,1.5,1.95,0,0
2019-02-22,4,0.9,2.45,0,0
2019-02-23,6.8,2.3,4.55,0,0
2019-02-24,6.3,4.9,5.6,0,0
2019-02-25,4.7,5,4.85,0,0
2019-02-26,5.2,3.8,4.5,0,0
2019-02-27,7.8,4.2,6,0,0
2019-02-28,6.6,6.7,6.65,0,0
2019-03-01,6.6,5,5.8,0,0
2019-03-02,7.8,4.8,6.3,0,0
2019-03-03,9.4,6.1,7.75,0,0
2019-03-04,9.9,8.1,9,0,0
2019-03-05,8.4,7.7,8.05,0,0
2019-03-06,8.4,7.3,7.85,0,0
2019-03-07,7,7.2,7.1,0,0
2019-03-08,6.1,5.7,5.9,0,0
2019-03-09,7.2,4.8,6,0,0
2019-03-10,10.1,6.5,8.3,0,0
2019-03-11,6.6,10.1,8.35,0,0
2019-03-12,3.9,5.4,4.65,0,2.7
2019-03-13,3.5,4.3,3.9,0,0
2019-03-14,5,3.9,4.45,0,0
2019-03-15,5.5,4.7,5.1,3.5,0
2019-03-16,4.3,5.5,4.9,0,2
2019-03-17,6.3,4.6,5.45,0,0
2019-03-18,7.1,5.4,6.25,0,0
2019-03-19,10,5.9,7.95,0,0
2019-03-20,10.3,9,9.65,16.5,0
2019-03-21,7.1,10.1,8.6,3.3,23.6
2019-03-22,3.3,7.3,5.3,0,4.6
2019-03-23,3.3,4.4,3.85,1.7,0
