측정일자,미세먼지(㎍/㎥),오존(ppm),이산화질소농도(ppm),일산화탄소농도(ppm),아황산가스농도(ppm),초미세먼지(㎍/㎥),주의보 및 경보,평균기온(℃),최고기온(℃),최저기온(℃),강수량(mm),폭염주의보,한파주의보,대설주의보,호우주의보,,
2020-06-01,19,0.041,0.012,0.3,0.002,9,0,19.7,24.5,16.6,0.4,0,0,0,0,,
2020-06-02,24,0.028,0.025,0.4,0.003,13,0,17.9,21.8,14.8,2,0,0,0,0,,
2020-06-03,46,0.048,0.016,0.4,0.002,23,0,22,28.4,17.6,0,0,0,0,0,,
2020-06-04,49,0.049,0.014,0.4,0.002,23,0,21.9,26.5,19.7,0.2,0,0,0,0,,
2020-06-05,46,0.048,0.02,0.5,0.002,23,0,23,28.7,18.4,0,0,0,0,0,,
2020-06-06,55,0.053,0.022,0.5,0.003,32,0,24.6,30.9,19.2,0,0,0,0,0,,
2020-06-07,49,0.051,0.012,0.5,0.003,27,0,22.7,29.2,19.2,0,0,0,0,0,,
2020-06-08,42,0.044,0.018,0.4,0.003,22,0,25,32,19.8,0,1,0,0,0,,
2020-06-09,48,0.044,0.024,0.4,0.003,23,0,26.7,32.8,20.3,0,1,0,0,0,,
2020-06-10,44,0.034,0.028,0.4,0.003,23,0,25.8,32.1,22.5,6.2,1,0,0,0,,
2020-06-11,29,0.031,0.015,0.3,0.003,16,0,26.1,31.6,21.7,0,0,0,0,0,,
2020-06-12,43,0.021,0.034,0.5,0.003,20,0,24.7,27.6,21.6,0,0,0,0,0,,
2020-06-13,50,0.056,0.024,0.4,0.003,25,0,26.9,33.5,20.6,0,0,0,0,0,,
2020-06-14,38,0.049,0.012,0.4,0.003,22,0,24,28.8,20.1,1.1,0,0,0,0,,
2020-06-15,27,0.042,0.017,0.3,0.003,13,0,23,28.6,18.2,0,0,0,0,0,,
2020-06-16,54,0.077,0.018,0.5,0.003,36,0,24.4,30.7,20,0,0,0,0,0,,
2020-06-17,50,0.055,0.025,0.6,0.004,32,0,24.3,30.3,20.2,0,0,0,0,0,,
2020-06-18,34,0.042,0.023,0.4,0.003,21,0,23.4,27.3,20.3,0,0,0,0,0,,
2020-06-19,24,0.04,0.015,0.4,0.002,15,0,24.7,30,21.1,0.1,0,0,0,0,,
2020-06-20,37,0.044,0.021,0.5,0.003,23,0,24.9,29.7,20.7,0,1,0,0,0,,
2020-06-21,34,0.048,0.014,0.4,0.003,22,0,26.1,32.7,19.5,0,1,0,0,0,,
2020-06-22,39,0.043,0.023,0.4,0.003,22,0,28.6,35.4,21.7,0,1,0,0,0,,
2020-06-23,41,0.041,0.032,0.5,0.004,24,0,27.3,31,23.2,0,1,0,0,0,,
2020-06-24,32,0.029,0.023,0.4,0.003,21,0,22.3,26.3,19.9,37.6,0,0,0,1,,
2020-06-25,13,0.026,0.014,0.4,0.002,7,0,21.6,23.4,20.1,13.3,0,0,0,0,,
2020-06-26,20,0.039,0.014,0.4,0.002,13,0,21.8,25.7,19.2,2.1,0,0,0,0,,
2020-06-27,25,0.041,0.018,0.4,0.003,16,0,24.1,29.6,20.4,0,0,0,0,0,,
2020-06-28,28,0.043,0.011,0.4,0.003,19,0,25.2,30.1,21.5,0,0,0,0,0,,
2020-06-29,35,0.031,0.02,0.4,0.003,24,0,23.8,26.5,20.6,11.9,0,0,0,1,,
2020-06-30,8,0.037,0.01,0.3,0.002,5,0,20.1,23.1,18.4,64.7,0,0,0,1,,
