,view_rate,date,start time,finish time
여름아 부탁해,16.3,20190701,저녁8:30, 9:00
KBS 뉴스 9,11.9,20190701,밤9시, 10시매주 주말 밤 9시 
태양의 계절 (드라마),10.4,20190701,저녁7:50, 8:30 (본방송)매주 목요일 낮 12:10 
동상이몽 2,9.95,20190701,밤10:40, 12:00
인간극장,8.8,20190701,아침7:50, 8:25
가요무대,8.8,20190701,밤10:00, 10:50
검법남녀 2,7.8500000000000005,20190701,밤8:55, 10:05
우리말 겨루기,7.8,20190701,저녁7:40, 8:25
JTBC 뉴스룸,7.539,20190701,,에러
SBS 8 뉴스,6.1,20190701,매주월요일, 목요일 밤 7:50 
여름아 부탁해,15.7,20190702,저녁8:30, 9:00
태양의 계절 (드라마),9.9,20190702,저녁7:50, 8:30 (본방송)매주 목요일 낮 12:10 
KBS 뉴스 9,9.8,20190702,밤9시, 10시매주 주말 밤 9시 
인간극장,8.7,20190702,아침7:50, 8:25
검법남녀 2,8.05,20190702,밤8:55, 10:05
아침마당,7.0,20190702,8시25분, 오전 9시 30분
휴먼다큐 사람이 좋다,6.7,20190702,오전8:05, 9:00
아내의 맛,6.332,20190702,밤10시, 12시
본격연예 한밤,6.15,20190702,밤8:55, 9:55
용왕님 보우하사,6.0,20190702,저녁7:10, 7:55 [1회
여름아 부탁해,15.9,20190703,저녁8:30, 9:00
KBS 뉴스 9,10.3,20190703,밤9시, 10시매주 주말 밤 9시 
태양의 계절 (드라마),9.7,20190703,저녁7:50, 8:30 (본방송)매주 목요일 낮 12:10 
인간극장,9.0,20190703,아침7:50, 8:25
아침마당,8.6,20190703,8시25분, 오전 9시 30분
봄밤,7.8,20190703,8시55분," 10시 5분  매주 월, 화 밤 10시"
백종원의 골목식당,7.2,20190703,밤10:35,
살림하는 남자들,6.8,20190703,밤9:15, 10:30
"단, 하나의 사랑",6.3,20190703,밤10시, 11시 10분
용왕님 보우하사,6.1,20190703,저녁7:10, 7:55 [1회
여름아 부탁해,16.4,20190704,저녁8:30, 9:00
KBS 뉴스 9,10.0,20190704,밤9시, 10시매주 주말 밤 9시 
태양의 계절 (드라마),9.4,20190704,저녁7:50, 8:30 (본방송)매주 목요일 낮 12:10 
인간극장,8.6,20190704,아침7:50, 8:25
순간포착 세상에 이런일이,8.35,20190704,밤8:55, 9:40
봄밤,7.95,20190704,8시55분," 10시 5분  매주 월, 화 밤 10시"
"단, 하나의 사랑",6.85,20190704,밤10시, 11시 10분
용왕님 보우하사,6.6,20190704,저녁7:10, 7:55 [1회
아침마당,6.6,20190704,8시25분, 오전 9시 30분
한국인의 밥상,6.6,20190704,,에러
여름아 부탁해,15.3,20190705,저녁8:30, 9:00
나 혼자 산다,10.8,20190705,밤11:10, 12:50
KBS 뉴스 9,10.6,20190705,밤9시, 10시매주 주말 밤 9시 
궁금한 이야기 Y,9.1,20190705,저녁8:55, 9:55
태양의 계절 (드라마),9.0,20190705,저녁7:50, 8:30 (본방송)매주 목요일 낮 12:10 
아침마당,8.9,20190705,8시25분, 오전 9시 30분
인간극장,8.7,20190705,아침7:50, 8:25
용왕님 보우하사,6.7,20190705,저녁7:10, 7:55 [1회
TV는 사랑을 싣고,6.5,20190705,오전10:40, 11:50
녹두꽃 (드라마),6.4,20190705,밤10:00, 11:10
세상에서 제일 예쁜 내 딸,24.35,20190706,,에러
KBS 뉴스 9,9.2,20190706,밤9시, 10시매주 주말 밤 9시 
정글의 법칙,8.0,20190706,밤9:00, 10:00
아스달 연대기,7.131,20190706,밤9시, 10시 55분
시니어토크쇼 황금연못,6.6,20190706,,에러
특파원 보고 세계는 지금,6.5,20190706,밤9:40, 10:30
불후의 명곡,6.5,20190706,매주 일요일 오후 5시 30분,에러
김영철의 동네 한 바퀴,6.5,20190706,저녁7:10, 8:00
노래가 좋아,6.1,20190706,저녁8:30, 9:25
녹두꽃 (드라마),6.050000000000001,20190706,밤10:00, 11:10
세상에서 제일 예쁜 내 딸,28.05,20190707,,에러
미운 우리 새끼,19.099999999999998,20190707,밤9:05, 11:05
