,view_rate,date,start time,finish time
여름아 부탁해,22.4,20191001,저녁8:30, 9:00
태양의 계절 (드라마),13.0,20191001,저녁7:50, 8:30 (본방송)매주 목요일 낮 12:10 
KBS 뉴스 9,12.2,20191001,밤9시, 10시매주 주말 밤 9시 
인간극장,8.4,20191001,아침7:50, 8:25
JTBC 뉴스룸,8.009,20191001,,에러
조선로,7.3,20191001,에러,에러
이웃집 찰스,7.3,20191001,,에러
KBS 뉴스 7,7.2,20191001,저녁7시, 7시 40분
아침마당,7.1,20191001,8시25분, 오전 9시 30분
6시 내고향,6.8,20191001,저녁6시, 7시
태양의 계절 (드라마),15.1,20191002,저녁7:50, 8:30 (본방송)매주 목요일 낮 12:10 
동백꽃 필 무렵,11.25,20191002,밤10:00, 11:10
살림하는 남자들,9.8,20191002,밤9:15, 10:30
KBS 뉴스 9,9.8,20191002,밤9시, 10시매주 주말 밤 9시 
인간극장,9.3,20191002,아침7:50, 8:25
아침마당,8.5,20191002,8시25분, 오전 9시 30분
KBS 뉴스특보,7.8,20191002,,에러
2TV 생생정보,7.2,20191002,저녁6:30, 7:45
SBS 8 뉴스,7.2,20191002,매주월요일, 목요일 밤 7:50 
백종원의 골목식당,6.45,20191002,밤10:35,
여름아 부탁해,21.3,20191003,저녁8:30, 9:00
태양의 계절 (드라마),14.7,20191003,저녁7:50, 8:30 (본방송)매주 목요일 낮 12:10 
KBS 뉴스 9,13.7,20191003,밤9시, 10시매주 주말 밤 9시 
동백꽃 필 무렵,12.149999999999999,20191003,밤10:00, 11:10
KBS 뉴스 7,7.6,20191003,저녁7시, 7시 40분
순간포착 세상에 이런일이,7.5,20191003,밤8:55, 9:40
아침마당,7.2,20191003,8시25분, 오전 9시 30분
우아한 가,6.945,20191003,"매주 수, 목 밤 11시",에러
수상한 장모,6.9,20191003,아침8:35, 9:10
KBS 뉴스광장,6.6,20191003,매주월요일, 토요일 아침 6시 
태양의 계절 (드라마),13.2,20191004,저녁7:50, 8:30 (본방송)매주 목요일 낮 12:10 
여름아 부탁해,12.95,20191004,저녁8:30, 9:00
KBS 뉴스 9,11.8,20191004,밤9시, 10시매주 주말 밤 9시 
나 혼자 산다,10.899999999999999,20191004,밤11:10, 12:50
궁금한 이야기 Y,9.8,20191004,저녁8:55, 9:55
배가본드 (드라마),9.399999999999999,20191004,밤10:00, 11:10
인간극장,8.0,20191004,아침7:50, 8:25
삼시세끼,7.141,20191004,,에러
SBS 8 뉴스,6.8,20191004,매주월요일, 목요일 밤 7:50 
아침마당,6.3,20191004,8시25분, 오전 9시 30분
사랑은 뷰티풀 인생은 원더풀,18.4,20191005,저녁7:55, 밤 9:15
배가본드 (드라마),10.266666666666667,20191005,밤10:00, 11:10
그것이 알고싶다,8.9,20191005,밤11:00, 12:30
황금정원,8.325000000000001,20191005,밤9:05, 11:05
정글의 법칙,7.85,20191005,밤9:00, 10:00
김영철의 동네 한 바퀴,7.3,20191005,저녁7:10, 8:00
불후의 명곡,7.199999999999999,20191005,매주 일요일 오후 5시 30분,에러
KBS 뉴스 9,7.1,20191005,밤9시, 10시매주 주말 밤 9시 
시니어토크쇼 황금연못,6.4,20191005,,에러
KBS 930 뉴스,5.9,20191005,9시30분, 10시  매주 토요일 오전 9시 30분 
사랑은 뷰티풀 인생은 원더풀,22.4,20191006,저녁7:55, 밤 9:15
미운 우리 새끼,13.366666666666667,20191006,밤9:05, 11:05
슈퍼맨이 돌아왔다,11.25,20191006,오후9:15, 11:10
KBS 뉴스 9,9.9,20191006,밤9시, 10시매주 주말 밤 9시 
TV 동물농장,9.2,20191006,일요일오전, 10:50
전국노래자랑,7.9,20191006,일요일낮, 1:20
사장님 귀는 당나귀 귀,7.4,20191006,오후5:00, 6:30
집사부일체,7.3,20191006,저녁6:25, 7:55
런닝맨 (텔레비전 프로그램),7.1,20191006,오후5:00, 6:25
미스터리 음악쇼 복면가왕,7.1,20191006,저녁6:15, 7:55
여름아 부탁해,23.1,20191007,저녁8:30, 9:00
태양의 계절 (드라마),13.6,20191007,저녁7:50, 8:30 (본방송)매주 목요일 낮 12:10 
KBS 뉴스 9,12.1,20191007,밤9시, 10시매주 주말 밤 9시 
인간극장,9.1,20191007,아침7:50, 8:25
우리말 겨루기,8.7,20191007,저녁7:40, 8:25
가요무대,7.9,20191007,밤10:00, 10:50
KBS 뉴스 7,7.7,20191007,저녁7시, 7시 40분
6시 내고향,7.3,20191007,저녁6시, 7시
동상이몽 2,6.7,20191007,밤10:40, 12:00
SBS 8 뉴스,6.6,20191007,매주월요일, 목요일 밤 7:50 
여름아 부탁해,22.3,20191008,저녁8:30, 9:00
태양의 계절 (드라마),13.3,20191008,저녁7:50, 8:30 (본방송)매주 목요일 낮 12:10 
KBS 뉴스 9,12.1,20191008,밤9시, 10시매주 주말 밤 9시 
인간극장,8.3,20191008,아침7:50, 8:25
이웃집 찰스,7.8,20191008,,에러
KBS 뉴스 7,7.3,20191008,저녁7시, 7시 40분
불타는 청춘 (텔레비전 프로그램),7.133333333333333,20191008,밤10:40, 12:00
아침마당,6.9,20191008,8시25분, 오전 9시 30분
6시 내고향,6.8,20191008,저녁6시, 7시
본격연예 한밤,6.300000000000001,20191008,밤8:55, 9:55
여름아 부탁해,20.4,20191009,저녁8:30, 9:00
동백꽃 필 무렵,13.7,20191009,밤10:00, 11:10
태양의 계절 (드라마),13.3,20191009,저녁7:50, 8:30 (본방송)매주 목요일 낮 12:10 
KBS 뉴스 9,10.4,20191009,밤9시, 10시매주 주말 밤 9시 
아침마당,9.2,20191009,8시25분, 오전 9시 30분
살림하는 남자들,9.1,20191009,밤9:15, 10:30
인간극장,9.1,20191009,아침7:50, 8:25
우아한 가,7.808,20191009,"매주 수, 목 밤 11시",에러
KBS 뉴스 7,7.8,20191009,저녁7시, 7시 40분
6시 내고향,6.7,20191009,저녁6시, 7시
여름아 부탁해,20.8,20191010,저녁8:30, 9:00
태양의 계절 (드라마),13.4,20191010,저녁7:50, 8:30 (본방송)매주 목요일 낮 12:10 
동백꽃 필 무렵,13.399999999999999,20191010,밤10:00, 11:10
2022년 FIFA 월드컵 아시아 지역 2차 예선,10.1,20191010,,에러
KBS 뉴스 9,8.5,20191010,밤9시, 10시매주 주말 밤 9시 
한국인의 밥상,8.3,20191010,,에러
인간극장,8.2,20191010,아침7:50, 8:25
KBS 뉴스 7,7.5,20191010,저녁7시, 7시 40분
제보자들,6.8,20191010,저녁8:30, 밤 9:25
6시 내고향,6.5,20191010,저녁6시, 7시
여름아 부탁해,21.5,20191011,저녁8:30, 9:00
태양의 계절 (드라마),13.0,20191011,저녁7:50, 8:30 (본방송)매주 목요일 낮 12:10 
KBS 뉴스 9,10.9,20191011,밤9시, 10시매주 주말 밤 9시 
나 혼자 산다,10.399999999999999,20191011,밤11:10, 12:50
배가본드 (드라마),10.133333333333333,20191011,밤10:00, 11:10
인간극장,9.0,20191011,아침7:50, 8:25
TV는 사랑을 싣고,8.8,20191011,오전10:40, 11:50
궁금한 이야기 Y,8.55,20191011,저녁8:55, 9:55
KBS 뉴스 7,6.8,20191011,저녁7시, 7시 40분
수상한 장모,6.5,20191011,아침8:35, 9:10
사랑은 뷰티풀 인생은 원더풀,19.65,20191012,저녁7:55, 밤 9:15
배가본드 (드라마),8.866666666666667,20191012,밤10:00, 11:10
정글의 법칙,8.55,20191012,밤9:00, 10:00
황금정원,8.5,20191012,밤9:05, 11:05
그것이 알고싶다,8.0,20191012,밤11:00, 12:30
불후의 명곡,7.25,20191012,매주 일요일 오후 5시 30분,에러
KBS 뉴스 9,7.1,20191012,밤9시, 10시매주 주말 밤 9시 
김영철의 동네 한 바퀴,6.4,20191012,저녁7:10, 8:00
시니어토크쇼 황금연못,6.1,20191012,,에러
SBS 8 뉴스,5.8,20191012,매주월요일, 목요일 밤 7:50 
사랑은 뷰티풀 인생은 원더풀,20.8,20191013,저녁7:55, 밤 9:15
미운 우리 새끼,14.766666666666666,20191013,밤9:05, 11:05
슈퍼맨이 돌아왔다,11.6,20191013,오후9:15, 11:10
TV 동물농장,9.55,20191013,일요일오전, 10:50
KBS 뉴스 9,9.5,20191013,밤9시, 10시매주 주말 밤 9시 
전국노래자랑,8.7,20191013,일요일낮, 1:20
뭉쳐야 찬다,7.848,20191013,저녁7:40, 9:35
미스터리 음악쇼 복면가왕,7.1,20191013,저녁6:15, 7:55
KBS 뉴스 12,6.4,20191013,낮12시, 오후 1시
집사부일체,6.4,20191013,저녁6:25, 7:55
여름아 부탁해,20.4,20191014,저녁8:30, 9:00
KBS 뉴스 9,11.9,20191014,밤9시, 10시매주 주말 밤 9시 
우리말 겨루기,9.2,20191014,저녁7:40, 8:25
KBS 뉴스 7,9.0,20191014,저녁7시, 7시 40분
인간극장,8.9,20191014,아침7:50, 8:25
동상이몽 2,8.466666666666667,20191014,밤10:40, 12:00
SBS 8 뉴스,7.9,20191014,매주월요일, 목요일 밤 7:50 
가요무대,7.6,20191014,밤10:00, 10:50
생활의 달인,7.449999999999999,20191014,밤8:55, 9:40
생방송 투데이,7.4,20191014,저녁7:00, 8:00
여름아 부탁해,21.4,20191015,저녁8:30, 9:00
태양의 계절 (드라마),12.6,20191015,저녁7:50, 8:30 (본방송)매주 목요일 낮 12:10 
KBS 뉴스 9,12.3,20191015,밤9시, 10시매주 주말 밤 9시 
인간극장,8.0,20191015,아침7:50, 8:25
KBS 뉴스 7,8.0,20191015,저녁7시, 7시 40분
본격연예 한밤,7.65,20191015,밤8:55, 9:55
이웃집 찰스,6.6,20191015,,에러
수상한 장모,6.6,20191015,아침8:35, 9:10
조선로,6.5,20191015,에러,에러
불타는 청춘 (텔레비전 프로그램),6.133333333333333,20191015,밤10:40, 12:00
여름아 부탁해,21.3,20191016,저녁8:30, 9:00
태양의 계절 (드라마),13.4,20191016,저녁7:50, 8:30 (본방송)매주 목요일 낮 12:10 
동백꽃 필 무렵,13.25,20191016,밤10:00, 11:10
KBS 뉴스 9,11.2,20191016,밤9시, 10시매주 주말 밤 9시 
인간극장,8.5,20191016,아침7:50, 8:25
우아한 가,8.405,20191016,"매주 수, 목 밤 11시",에러
살림하는 남자들,7.5,20191016,밤9:15, 10:30
아침마당,7.2,20191016,8시25분, 오전 9시 30분
6시 내고향,6.8,20191016,저녁6시, 7시
KBS 뉴스 7,6.6,20191016,저녁7시, 7시 40분
여름아 부탁해,22.3,20191017,저녁8:30, 9:00
동백꽃 필 무렵,14.700000000000001,20191017,밤10:00, 11:10
KBS 뉴스 9,12.3,20191017,밤9시, 10시매주 주말 밤 9시 
태양의 계절 (드라마),12.2,20191017,저녁7:50, 8:30 (본방송)매주 목요일 낮 12:10 
한국인의 밥상,9.2,20191017,,에러
KBS 뉴스 7,8.1,20191017,저녁7시, 7시 40분
인간극장,7.7,20191017,아침7:50, 8:25
6시 내고향,7.0,20191017,저녁6시, 7시
수상한 장모,6.6,20191017,아침8:35, 9:10
제보자들,6.4,20191017,저녁8:30, 밤 9:25
여름아 부탁해,21.5,20191018,저녁8:30, 9:00
태양의 계절 (드라마),13.8,20191018,저녁7:50, 8:30 (본방송)매주 목요일 낮 12:10 
KBS 뉴스 9,10.2,20191018,밤9시, 10시매주 주말 밤 9시 
TV는 사랑을 싣고,9.2,20191018,오전10:40, 11:50
배가본드 (드라마),9.033333333333333,20191018,밤10:00, 11:10
나 혼자 산다,9.0,20191018,밤11:10, 12:50
궁금한 이야기 Y,8.3,20191018,저녁8:55, 9:55
인간극장,7.6,20191018,아침7:50, 8:25
KBS 뉴스 7,7.1,20191018,저녁7시, 7시 40분
6시 내고향,6.6,20191018,저녁6시, 7시
사랑은 뷰티풀 인생은 원더풀,17.200000000000003,20191019,저녁7:55, 밤 9:15
배가본드 (드라마),9.3,20191019,밤10:00, 11:10
