,view_rate,date,start time,finish time
비켜라 운명아,14.4,20190101,저녁8:30, 9:00
특선영화,12.5,20190101,에러,에러
특선영화,11.2,20190101,에러,에러
비켜라 운명아,17.8,20190102,저녁8:30, 9:00
황후의 품격,14.350000000000001,20190102,밤10:00, 11:10
KBS 뉴스 9,11.8,20190102,밤9시, 10시매주 주말 밤 9시 
비켜라 운명아,19.1,20190103,저녁8:30, 9:00
황후의 품격,15.799999999999999,20190103,밤10:00, 11:10
비밀과 거짓말 (대한민국의 드라마),13.0,20190103,저녁7:15, 7:55
비켜라 운명아,18.3,20190104,저녁8:30, 9:00
나 혼자 산다,14.9,20190104,밤11:10, 12:50
SKY 캐슬,14.389,20190104,,에러
하나뿐인 내편,30.1,20190105,,에러
알함브라 궁전의 추억,12.44,20190105,,에러
신과의 약속,12.25,20190105,밤9:05, 11:05
하나뿐인 내편,24.599999999999998,20190106,,에러
미운 우리 새끼,22.15,20190106,밤9:05, 11:05
알함브라 궁전의 추억,13.592,20190106,,에러
비켜라 운명아,17.5,20190107,저녁8:30, 9:00
2019년 AFC 아시안컵,12.577,20190107,,에러
KBS 뉴스 9,11.7,20190107,밤9시, 10시매주 주말 밤 9시 
비켜라 운명아,17.4,20190108,저녁8:30, 9:00
KBS 뉴스 9,13.1,20190108,밤9시, 10시매주 주말 밤 9시 
왼손잡이 아내,12.0,20190108,저녁7:50, 8:30 (본방송)매주 목요일 낮 12:10 
비켜라 운명아,16.1,20190109,저녁8:30, 9:00
황후의 품격,14.3,20190109,밤10:00, 11:10
비밀과 거짓말 (대한민국의 드라마),13.1,20190109,저녁7:15, 7:55
비켜라 운명아,18.8,20190110,저녁8:30, 9:00
황후의 품격,15.1,20190110,밤10:00, 11:10
비밀과 거짓말 (대한민국의 드라마),12.6,20190110,저녁7:15, 7:55
SKY 캐슬,18.443,20190111,,에러
비켜라 운명아,17.8,20190111,저녁8:30, 9:00
비밀과 거짓말 (대한민국의 드라마),13.6,20190111,저녁7:15, 7:55
하나뿐인 내편,31.7,20190112,,에러
신과의 약속,13.875,20190112,밤9:05, 11:05
SKY 캐슬,12.771,20190112,,에러
하나뿐인 내편,26.599999999999998,20190113,,에러
미운 우리 새끼,20.45,20190113,밤9:05, 11:05
내사랑 치유기,12.899999999999999,20190113,밤9:05, 11:05
비켜라 운명아,18.6,20190114,저녁8:30, 9:00
KBS 뉴스 9,14.3,20190114,밤9시, 10시매주 주말 밤 9시 
왼손잡이 아내,11.3,20190114,저녁7:50, 8:30 (본방송)매주 목요일 낮 12:10 
비켜라 운명아,17.4,20190115,저녁8:30, 9:00
KBS 뉴스 9,12.2,20190115,밤9시, 10시매주 주말 밤 9시 
왼손잡이 아내,11.5,20190115,저녁7:50, 8:30 (본방송)매주 목요일 낮 12:10 
