date,keyWords
2019-01-01,"['롱패딩', '여성롱패딩', '남자롱패딩', '키즈롱패딩', '여자롱패딩', '몽클레어여성패딩', '여자무스탕', '여성패딩', '니트원피스', '원피스', '핸드메이드코트', '밍크코트', '써스데이아일랜드', '아디다스롱패딩', '남자패딩', '아동롱패딩', '무스탕', '패딩', '여성경량패딩', '여성코트']"
2019-01-02,"['롱패딩', '여성롱패딩', '남자롱패딩', '키즈롱패딩', '여자롱패딩', '몽클레어여성패딩', '여성패딩', '니트원피스', '여자무스탕', '원피스', '아동롱패딩', '핸드메이드코트', '패딩', '무스탕', '여성경량패딩', '남자패딩', '아디다스롱패딩', '밍크코트', '테디베어코트', '써스데이아일랜드']"
2019-01-03,"['롱패딩', '여성롱패딩', '남자롱패딩', '키즈롱패딩', '여자롱패딩', '몽클레어여성패딩', '여성패딩', '니트원피스', '여자무스탕', '원피스', '핸드메이드코트', '아동롱패딩', '패딩', '여성경량패딩', '무스탕', '여성숏패딩', '테디베어코트', '남자패딩', '밍크코트', '아디다스롱패딩']"
2019-01-04,"['롱패딩', '여성롱패딩', '남자롱패딩', '키즈롱패딩', '몽클레어여성패딩', '여자롱패딩', '여성패딩', '니트원피스', '여자무스탕', '원피스', '핸드메이드코트', '아동롱패딩', '여성경량패딩', '패딩', '여성숏패딩', '무스탕', '테디베어코트', '남자패딩', '보브패딩', '밍크코트']"
2019-01-05,"['롱패딩', '여성롱패딩', '남자롱패딩', '몽클레어여성패딩', '키즈롱패딩', '여자롱패딩', '니트원피스', '여성패딩', '여자무스탕', '원피스', '핸드메이드코트', '여성경량패딩', '여성숏패딩', '아동롱패딩', '패딩', '무스탕', '테디베어코트', '보브패딩', '남자패딩', '써스데이아일랜드']"
2019-01-06,"['롱패딩', '여성롱패딩', '남자롱패딩', '몽클레어여성패딩', '키즈롱패딩', '니트원피스', '여자롱패딩', '여성패딩', '여자무스탕', '원피스', '핸드메이드코트', '여성경량패딩', '여성숏패딩', '무스탕', '패딩', '아동롱패딩', '테디베어코트', '써스데이아일랜드', '여성코트', '보브패딩']"
2019-01-07,"['롱패딩', '여성롱패딩', '남자롱패딩', '몽클레어여성패딩', '니트원피스', '키즈롱패딩', '여자롱패딩', '여성패딩', '원피스', '여자무스탕', '핸드메이드코트', '여성경량패딩', '여성숏패딩', '무스탕', '아동롱패딩', '패딩', '테디베어코트', '써스데이아일랜드', '여성코트', '여성핸드메이드코트']"
2019-01-08,"['롱패딩', '여성롱패딩', '몽클레어여성패딩', '니트원피스', '남자롱패딩', '키즈롱패딩', '여성패딩', '여자롱패딩', '원피스', '핸드메이드코트', '여자무스탕', '여성경량패딩', '여성숏패딩', '테디베어코트', '패딩', '아동롱패딩', '무스탕', '여성체크코트', '쉬즈미스코트', '여성핸드메이드코트']"
2019-01-09,"['롱패딩', '여성롱패딩', '몽클레어여성패딩', '니트원피스', '남자롱패딩', '키즈롱패딩', '원피스', '여성패딩', '여자롱패딩', '핸드메이드코트', '여자무스탕', '여성경량패딩', '여성숏패딩', '테디베어코트', '쉬즈미스코트', '여성체크코트', '여성핸드메이드코트', '패딩', '무스탕', '아동롱패딩']"
2019-01-10,"['롱패딩', '여성롱패딩', '니트원피스', '몽클레어여성패딩', '남자롱패딩', '원피스', '키즈롱패딩', '핸드메이드코트', '여성패딩', '여자롱패딩', '여성경량패딩', '여자무스탕', '여성숏패딩', '테디베어코트', '쉬즈미스코트', '여성핸드메이드코트', '여성체크코트', '여성코트', '무스탕', '패딩']"
2019-01-11,"['롱패딩', '여성롱패딩', '니트원피스', '몽클레어여성패딩', '원피스', '남자롱패딩', '핸드메이드코트', '키즈롱패딩', '여성패딩', '여성경량패딩', '여자롱패딩', '여성숏패딩', '여자무스탕', '쉬즈미스코트', '여성핸드메이드코트', '테디베어코트', '여성체크코트', '여성코트', '패딩', '무스탕']"
2019-01-12,"['롱패딩', '여성롱패딩', '니트원피스', '몽클레어여성패딩', '원피스', '남자롱패딩', '핸드메이드코트', '키즈롱패딩', '여성패딩', '여성경량패딩', '여성숏패딩', '여자롱패딩', '여자무스탕', '쉬즈미스코트', '여성핸드메이드코트', '여성체크코트', '테디베어코트', '여성코트', '패딩', '무스탕']"
2019-01-13,"['롱패딩', '여성롱패딩', '니트원피스', '원피스', '몽클레어여성패딩', '핸드메이드코트', '남자롱패딩', '키즈롱패딩', '여성경량패딩', '여성숏패딩', '여성패딩', '쉬즈미스코트', '여자롱패딩', '여성핸드메이드코트', '여자무스탕', '테디베어코트', '여성코트', '여성체크코트', '패딩', '보브패딩']"
2019-01-14,"['롱패딩', '여성롱패딩', '니트원피스', '원피스', '몽클레어여성패딩', '핸드메이드코트', '여성숏패딩', '키즈롱패딩', '남자롱패딩', '여성경량패딩', '여성패딩', '쉬즈미스코트', '여성핸드메이드코트', '여성코트', '테디베어코트', '여자롱패딩', '여자무스탕', '여성체크코트', '여아한복', '패딩']"
2019-01-15,"['롱패딩', '원피스', '니트원피스', '여성롱패딩', '핸드메이드코트', '몽클레어여성패딩', '여성숏패딩', '여성경량패딩', '키즈롱패딩', '여성핸드메이드코트', '남자롱패딩', '쉬즈미스코트', '여성패딩', '여성코트', '테디베어코트', '여아한복', '여자무스탕', '여자롱패딩', '여성체크코트', '여름원피스']"
2019-01-16,"['롱패딩', '원피스', '핸드메이드코트', '니트원피스', '여성롱패딩', '몽클레어여성패딩', '여성숏패딩', '여성경량패딩', '여성핸드메이드코트', '쉬즈미스코트', '키즈롱패딩', '남자롱패딩', '여성패딩', '여성코트', '여아한복', '테디베어코트', '여자무스탕', '여성체크코트', '써스데이아일랜드원피스', '여자롱패딩']"
