방송일시,방송시간,상품명,상품군,판매단가
2020-01-01,0:22,삼성화재행복한파트너주택화재보험,무형,0
2020-01-01,1:22,더케이예다함상조서비스(티포트),무형,0
2020-01-01,2:20,(일시불)황금관절4개월분,건강기능,157000
2020-01-01,3:20,KF94엔웰스황사방역마스크100매,생활용품,57900
2020-01-01,5:20,삼성화재행복한파트너주택화재보험,무형,0
2020-01-01,6:20,굿프렌드스트레칭안마매트GOOD-A7,생활용품,199000
2020-01-01,7:20,마르엘라로사티에코무스탕1종,의류,78000
2020-01-01,8:21,오델로여성겨울모자3종,잡화,28800
2020-01-01,9:21,VONIN보닌남성기초세트,이미용,53000
2020-01-01,10:21,헤스티지엘레나라쿤양가죽콤비롱코트,의류,298000
2020-01-01,11:21,코치뉴베네트크로스백,잡화,198000
2020-01-01,12:21,DB손해보험참좋은운전자보험,무형,0
2020-01-01,13:22,레이프릴오가닉코튼보정팬티12종,속옷,38900
2020-01-01,14:22,참존탑뉴스지이링클기초세트(스킨X2+로션X2+크림X4+에센스X2+쇼핑백X2),이미용,58000
2020-01-01,15:22,램프쿡자동회전냄비,주방,99000
2020-01-01,16:22,임성근의녹용도가니탕풀세트(도가니탕X8+도가니수육X8+양념장+인삼소금),농수축,54900
2020-01-01,17:22,국내산손질햇갑오징어9팩,농수축,48900
2020-01-01,18:22,(무이자)쿠첸압력밥솥10인용,주방,168000
2020-01-01,19:22,푸마스트레치심리스드로즈11종,속옷,88000
2020-01-01,20:22,현대렌탈케어정수기렌탈,무형,0
2020-01-01,21:22,LG울트라HDTV55UM7900BNA,가전,1140000
2020-01-01,22:22,(무이자)장수클래식흙카우치,가구,1660000
2020-01-01,23:22,비버리힐스폴로클럽남성기초세트(골드아이크림+콜라겐아이크림),이미용,38800
2020-01-02,0:22,DB손해보험참좋은운전자보험,무형,0
2020-01-02,1:22,헤스티지엘레나라쿤양가죽콤비롱코트,의류,298000
2020-01-02,2:20,(일시불)관절팔팔총6병,건강기능,178000
2020-01-02,3:20,더케이예다함상조서비스(티포트),무형,0
2020-01-02,4:20,(일시불)박경호녹용활력명작6박스/120포,건강기능,138000
2020-01-02,5:20,(일시불)황금관절4개월분,건강기능,157000
2020-01-02,6:20,아이러브허브찜질팩5종세트,이미용,68000
2020-01-02,7:20,브루마스벨라V앵클부츠,잡화,48000
2020-01-02,8:21,네오젠에이지큐어원미닛링클리프트2박스+크림,이미용,58900
2020-01-02,9:21,IH옛가마솥세트,주방,59000
2020-01-02,10:21,영산포숙성홍어회7팩,농수축,28900
2020-01-02,11:21,오세득본갈비탕10팩,농수축,59900
2020-01-02,12:21,암블로19F/W남성트레킹화3종,잡화,48800
2020-01-02,13:22,휴렉음식물처리기+홈케어서비스,무형,0
2020-01-02,14:22,[10%즉시할인]조이앤피스양가죽니트부츠,잡화,61200
2020-01-02,15:22,정직한농부의석류4박스,농수축,58900
2020-01-02,16:22,통영바다의보물국내산냉동참굴200gX12팩,농수축,38900
2020-01-02,17:22,고창꿀고구마총10kg,농수축,29900
2020-01-02,18:22,안동간고등어20팩,농수축,29900
2020-01-02,19:22,(무이자)국내제조노비타뉴스파비데무료설치1+1,생활용품,428000
2020-01-02,20:22,LG전자통돌이세탁기TR14WK1(화이트),가전,429000
2020-01-02,21:22,비버리힐스폴로클럽남성기초세트(골드아이크림+콜라겐아이크림),이미용,38800
2020-01-02,22:22,(무이자)쿠쿠전기밥솥10인용,주방,217000
2020-01-02,23:22,(무이자)선일금고이볼브시리즈EV-020,생활용품,430000
2020-01-03,0:22,프리드450상조서비스(1),무형,0
2020-01-03,1:22,네오젠코드나인메탈마스카라본품X2+리필X3+아이리무버,이미용,58900
2020-01-03,2:20,팔레오크릴오일100012박스/총12개월분,건강기능,327000
2020-01-03,3:20,(일시불)관절팔팔총6병,건강기능,178000
2020-01-03,4:20,캐리어공기청정기25형(ACAPSF082HRHW)+추가필터,가전,449000
2020-01-03,6:20,[10%즉시할인]제니하우스살롱코드염색제10박스+앰플10종+트리트먼트10종+염색보+라면포트,이미용,71010
2020-01-03,7:20,크리스티나앤코리버시블패딩,의류,48000
2020-01-03,8:21,(무이자)클란츠멀티쿡,주방,63800
2020-01-03,9:21,참존탑뉴스지이링클기초세트(스킨X2+로션X2+크림X4+에센스X2+쇼핑백X2),이미용,58000
2020-01-03,10:21,KF94엔웰스황사방역마스크100매,생활용품,47900
2020-01-03,11:21,에트로아르니카멀티백(1I434-8278),잡화,437000
2020-01-03,12:21,현대해상(무)하이콜운전자상해보험,무형,0
2020-01-03,13:22,레이프릴오가닉코튼보정팬티12종,속옷,38900
2020-01-03,14:22,베트남대왕망고5kg,농수축,48900
2020-01-03,15:22,브루마스벨라V앵클부츠,잡화,48000
2020-01-03,16:22,대동모피패션밍크후드롱코트(19FW),의류,689000
2020-01-03,17:22,램프쿡자동회전냄비,주방,99000
2020-01-03,18:22,푸마스트레치심리스드로즈11종,속옷,88000
2020-01-03,19:22,니봇무선진공물걸레로봇청소기+뉴헤어드라이어기+물걸레3장,생활용품,239000
2020-01-03,20:22,보루네오루나시즌2유로탑멀티수납형LED침대킹,가구,647000
2020-01-03,21:22,(무이자)LG전자매직스페이스냉장고,가전,1489000
2020-01-03,22:22,캐리어공기청정기25형(ACAPSF082HRHW)+추가필터,가전,449000
2020-01-03,23:22,"(상담예약)참좋은여행하문,샤먼",무형,0
2020-01-04,0:22,팔로모매트릭스,무형,0
2020-01-04,1:22,옛날그쥐포110장(11팩),농수축,31900
2020-01-04,2:20,프리드450상조서비스(1),무형,0
2020-01-04,3:20,프로닥스시트세제더블세트+세탁조3팩,생활용품,78800
2020-01-04,6:20,(무이자)정관장홍삼활력5박스,건강기능,197000
2020-01-04,7:20,NNF여성롱패딩코트1종,의류,48000
2020-01-04,8:21,네오젠에이지큐어원미닛링클리프트2박스+크림,이미용,58900
2020-01-04,9:21,헤스티지레나폭스퍼후드덕다운롱코트,의류,298000
2020-01-04,10:21,코치뉴베네트크로스백,잡화,198000
2020-01-04,11:21,KF94엔웰스황사방역마스크100매,생활용품,47900
2020-01-04,12:21,안동간고등어20팩,농수축,29900
2020-01-04,13:22,네오젠코드나인메탈마스카라본품X2+리필X3+아이리무버,이미용,58900
2020-01-04,14:22,현대해상(무)하이콜운전자상해보험,무형,0
2020-01-04,15:22,한일대용량스텐분쇄믹서기,주방,108800
