iter	Passed	Remaining
0	148	73910
1	232	57940
2	316	52377
3	415	51515
4	506	50140
5	594	48969
6	686	48345
7	775	47663
8	861	47003
9	953	46728
10	1049	46664
11	1140	46395
12	1242	46550
13	1323	45947
14	1409	45587
15	1491	45109
16	1579	44880
17	1673	44801
18	1767	44752
19	1856	44550
20	1947	44431
21	2025	44019
22	2110	43775
23	2193	43503
24	2273	43204
25	2358	42995
26	2441	42774
27	2525	42569
28	2612	42424
29	2697	42266
30	2777	42014
31	2860	41837
32	2942	41633
33	3024	41448
34	3104	41244
35	3187	41084
36	3270	40921
37	3358	40826
38	3445	40731
39	3539	40708
40	3624	40578
41	3713	40499
42	3801	40407
43	3889	40311
44	3980	40249
45	4073	40208
46	4157	40072
47	4242	39946
48	4326	39822
49	4408	39679
50	4488	39513
51	4575	39417
52	4654	39256
53	4736	39123
54	4826	39050
55	4913	38956
56	4999	38853
57	5092	38806
58	5178	38704
59	5262	38590
60	5347	38484
61	5433	38386
62	5513	38242
63	5593	38107
64	5672	37964
65	5754	37839
66	5842	37761
67	5930	37673
68	6016	37579
69	6099	37466
70	6182	37356
71	6269	37267
72	6353	37160
73	6432	37029
74	6516	36924
75	6595	36796
76	6683	36716
77	6764	36595
78	6850	36507
79	6930	36384
80	7008	36255
81	7091	36147
82	7172	36036
83	7254	35928
84	7342	35846
85	7435	35793
86	7515	35675
87	7576	35469
88	7642	35292
89	7710	35126
90	7772	34932
91	7836	34752
92	7896	34557
93	7975	34446
94	8035	34258
95	8103	34102
96	8149	33858
97	8202	33646
98	8258	33452
99	8308	33233
100	8352	32995
101	8413	32830
102	8480	32686
103	8555	32576
104	8617	32419
105	8697	32326
106	8765	32193
107	8823	32026
108	8892	31898
109	8947	31723
110	9007	31565
111	9078	31450
112	9146	31324
113	9222	31226
114	9283	31079
115	9344	30933
116	9407	30796
117	9465	30643
118	9527	30504
119	9605	30417
120	9674	30302
121	9742	30186
122	9796	30026
123	9845	29854
124	9903	29709
125	9959	29560
126	10016	29417
127	10064	29249
128	10111	29081
129	10159	28915
130	10209	28758
131	10257	28597
132	10311	28452
133	10365	28312
134	10412	28151
135	10463	28005
136	10514	27860
137	10568	27721
138	10618	27578
139	10672	27443
140	10726	27310
141	10782	27185
142	10831	27039
143	10881	26902
144	10935	26772
145	11004	26680
146	11092	26636
147	11196	26629
148	11299	26617
149	11413	26631
150	11537	26666
151	11655	26685
152	11767	26687
153	11870	26669
154	11972	26647
155	12084	26647
156	12206	26667
157	12311	26648
158	12422	26641
159	12532	26631
160	12639	26612
161	12743	26588
162	12844	26556
163	12940	26511
164	13056	26507
165	13148	26455
166	13239	26399
167	13325	26333
168	13419	26283
169	13507	26221
170	13600	26167
171	13695	26117
172	13778	26043
173	13861	25970
174	13948	25903
175	14043	25853
176	14134	25792
177	14231	25743
178	14325	25690
179	14423	25642
180	14505	25565
181	14598	25507
182	14696	25457
183	14801	25420
184	14897	25366
185	14996	25316
186	15046	25184
187	15092	25047
188	15137	24909
189	15189	24782
190	15236	24649
191	15290	24528
192	15344	24407
193	15400	24291
194	15450	24166
195	15497	24037
196	15548	23914
197	15593	23784
198	15641	23658
199	15687	23531
200	15740	23415
201	15785	23287
202	15829	23159
203	15871	23029
204	15915	22902
205	15965	22785
206	16059	22732
207	16150	22672
208	16247	22622
209	16343	22569
210	16429	22503
211	16514	22435
212	16606	22375
213	16689	22304
214	16772	22233
215	16865	22175
216	16949	22104
217	17036	22038
218	17126	21975
219	17216	21911
220	17301	21842
221	17392	21780
222	17476	21708
223	17563	21640
224	17655	21578
225	17755	21526
226	17842	21458
227	17930	21391
228	18013	21317
229	18114	21265
230	18206	21201
231	18294	21133
232	18403	21089
233	18496	21026
234	18587	20960
235	18674	20890
236	18758	20816
237	18852	20753
238	18935	20678
239	19018	20603
240	19118	20545
241	19196	20465
242	19288	20399
243	19378	20331
244	19462	20256
245	19551	20187
246	19640	20117
247	19721	20039
248	19812	19971
249	19892	19892
250	19972	19813
251	20016	19698
252	20061	19586
253	20103	19470
254	20146	19356
255	20190	19244
256	20236	19134
257	20282	19024
258	20323	18911
259	20365	18798
260	20409	18688
261	20454	18580
262	20500	18473
263	20542	18364
264	20580	18250
265	20620	18139
266	20660	18030
267	20703	17922
268	20746	17815
269	20784	17704
270	20825	17597
271	20867	17492
272	20910	17386
273	20954	17283
274	20993	17176
275	21033	17070
276	21071	16963
277	21119	16865
278	21160	16761
279	21198	16655
280	21237	16551
281	21277	16448
282	21318	16346
283	21356	16242
284	21392	16138
285	21429	16034
286	21466	15931
287	21512	15835
288	21556	15738
289	21604	15644
290	21646	15546
291	21694	15453
292	21735	15355
293	21772	15255
294	21810	15156
295	21853	15061
296	21894	14964
297	21931	14866
298	22008	14794
299	22098	14732
300	22187	14668
301	22271	14601
302	22352	14533
303	22438	14466
304	22525	14401
305	22622	14342
306	22719	14282
307	22802	14214
308	22893	14150
309	22969	14078
310	23053	14010
311	23130	13937
312	23211	13867
313	23299	13801
314	23389	13736
315	23473	13668
316	23560	13601
317	23644	13532
318	23727	13462
319	23817	13397
320	23901	13328
321	23987	13260
322	24084	13198
323	24173	13131
324	24263	13064
325	24345	12994
326	24435	12927
327	24520	12858
328	24608	12790
329	24692	12720
330	24791	12657
331	24889	12594
332	24986	12530
333	25073	12461
334	25159	12392
335	25245	12322
336	25345	12258
337	25438	12192
338	25519	12120
339	25603	12048
340	25686	11976
341	25772	11906
342	25857	11835
343	25946	11766
344	25995	11678
345	26038	11589
346	26093	11505
347	26130	11413
348	26170	11322
349	26214	11234
350	26265	11149
351	26309	11061
352	26350	10973
353	26390	10884
354	26430	10795
355	26467	10706
356	26511	10619
357	26551	10531
358	26593	10444
359	26632	10357
360	26683	10274
361	26724	10187
362	26764	10101
363	26801	10013
364	26839	9927
365	26885	9843
366	26928	9758
367	26965	9672
368	27003	9586
369	27041	9501
370	27081	9416
371	27123	9332
372	27164	9248
373	27203	9164
374	27241	9080
375	27285	8998
376	27333	8917
377	27377	8836
378	27415	8752
379	27456	8670
380	27498	8588
381	27538	8506
382	27578	8424
383	27619	8343
384	27663	8263
385	27708	8183
386	27752	8103
387	27798	8024
388	27843	7945
389	27889	7866
390	27954	7792
391	28053	7729
392	28154	7665
393	28249	7600
394	28352	7536
395	28449	7471
396	28533	7402
397	28621	7335
398	28708	7267
399	28796	7199
400	28886	7131
401	28973	7063
402	29052	6992
403	29144	6925
404	29225	6855
405	29350	6795
406	29446	6728
407	29527	6658
408	29611	6588
409	29693	6518
410	29786	6450
411	29871	6380
412	29986	6316
413	30087	6250
414	30165	6178
415	30249	6108
416	30341	6039
417	30432	5970
418	30517	5899
419	30597	5828
420	30675	5756
421	30759	5685
422	30835	5613
423	30916	5541
424	30997	5470
425	31072	5397
426	31149	5325
427	31227	5253
428	31307	5181
429	31402	5111
430	31513	5045
431	31607	4975
432	31694	4904
433	31787	4834
434	31875	4763
435	31951	4690
436	31999	4613
437	32044	4535
438	32096	4459
439	32141	4382
440	32183	4305
